Ball No,Over,Bowler Name,Batter Name,Ball Type,Shot Type,Speed of Ball,Runs Scored,Match Name,Match Won By,Team 1 Score,Team 2 Score,Match Venue,Match Date
18.16McCoy,18,18.16McCoy,Gill,Unknown,boundary,N/A,6,Gujarat Titans vs Rajasthan Royals - Final,Gujarat Titans,133/3,130/9,"Narendra Modi Stadium, Ahmedabad","May 29, 2022"
17.62Ashwin,17,17.62Ashwin,Miller,Unknown,double,N/A,2,Gujarat Titans vs Rajasthan Royals - Final,Gujarat Titans,133/3,130/9,"Narendra Modi Stadium, Ahmedabad","May 29, 2022"
17.51Ashwin,17,17.51Ashwin,Gill,Unknown,single,N/A,1,Gujarat Titans vs Rajasthan Royals - Final,Gujarat Titans,133/3,130/9,"Narendra Modi Stadium, Ahmedabad","May 29, 2022"
17.4•Ashwin,17,17.4•Ashwin,Gill,Unknown,dot,N/A,0,Gujarat Titans vs Rajasthan Royals - Final,Gujarat Titans,133/3,130/9,"Narendra Modi Stadium, Ahmedabad","May 29, 2022"
17.31Ashwin,17,17.31Ashwin,Miller,Unknown,single,N/A,1,Gujarat Titans vs Rajasthan Royals - Final,Gujarat Titans,133/3,130/9,"Narendra Modi Stadium, Ahmedabad","May 29, 2022"
17.21Ashwin,17,17.21Ashwin,Gill,Unknown,single,N/A,1,Gujarat Titans vs Rajasthan Royals - Final,Gujarat Titans,133/3,130/9,"Narendra Modi Stadium, Ahmedabad","May 29, 2022"
17.1•Ashwin,17,17.1•Ashwin,Gill,Unknown,dot,N/A,0,Gujarat Titans vs Rajasthan Royals - Final,Gujarat Titans,133/3,130/9,"Narendra Modi Stadium, Ahmedabad","May 29, 2022"
16.62Prasidh,16,16.62Prasidh,Miller,Unknown,double,N/A,2,Gujarat Titans vs Rajasthan Royals - Final,Gujarat Titans,133/3,130/9,"Narendra Modi Stadium, Ahmedabad","May 29, 2022"
16.54Prasidh,16,16.54Prasidh,Miller,Unknown,boundary,N/A,4,Gujarat Titans vs Rajasthan Royals - Final,Gujarat Titans,133/3,130/9,"Narendra Modi Stadium, Ahmedabad","May 29, 2022"
16.51wPrasidh,16,16.51wPrasidh,Miller,Unknown,other,N/A,unknown,Gujarat Titans vs Rajasthan Royals - Final,Gujarat Titans,133/3,130/9,"Narendra Modi Stadium, Ahmedabad","May 29, 2022"
16.44Prasidh,16,16.44Prasidh,Miller,Unknown,boundary,N/A,4,Gujarat Titans vs Rajasthan Royals - Final,Gujarat Titans,133/3,130/9,"Narendra Modi Stadium, Ahmedabad","May 29, 2022"
16.3•Prasidh,16,16.3•Prasidh,Miller,Unknown,dot,N/A,0,Gujarat Titans vs Rajasthan Royals - Final,Gujarat Titans,133/3,130/9,"Narendra Modi Stadium, Ahmedabad","May 29, 2022"
16.22Prasidh,16,16.22Prasidh,Miller,Unknown,double,N/A,2,Gujarat Titans vs Rajasthan Royals - Final,Gujarat Titans,133/3,130/9,"Narendra Modi Stadium, Ahmedabad","May 29, 2022"
16.1•Prasidh,16,16.1•Prasidh,Miller,Unknown,dot,N/A,0,Gujarat Titans vs Rajasthan Royals - Final,Gujarat Titans,133/3,130/9,"Narendra Modi Stadium, Ahmedabad","May 29, 2022"
15.61Ashwin,15,15.61Ashwin,Miller,Unknown,single,N/A,1,Gujarat Titans vs Rajasthan Royals - Final,Gujarat Titans,133/3,130/9,"Narendra Modi Stadium, Ahmedabad","May 29, 2022"
15.51Ashwin,15,15.51Ashwin,Gill,Unknown,single,N/A,1,Gujarat Titans vs Rajasthan Royals - Final,Gujarat Titans,133/3,130/9,"Narendra Modi Stadium, Ahmedabad","May 29, 2022"
15.41Ashwin,15,15.41Ashwin,Miller,Unknown,single,N/A,1,Gujarat Titans vs Rajasthan Royals - Final,Gujarat Titans,133/3,130/9,"Narendra Modi Stadium, Ahmedabad","May 29, 2022"
15.36Ashwin,15,15.36Ashwin,Miller,Unknown,boundary,N/A,6,Gujarat Titans vs Rajasthan Royals - Final,Gujarat Titans,133/3,130/9,"Narendra Modi Stadium, Ahmedabad","May 29, 2022"
15.21Ashwin,15,15.21Ashwin,Gill,Unknown,single,N/A,1,Gujarat Titans vs Rajasthan Royals - Final,Gujarat Titans,133/3,130/9,"Narendra Modi Stadium, Ahmedabad","May 29, 2022"
15.12Ashwin,15,15.12Ashwin,Gill,Unknown,double,N/A,2,Gujarat Titans vs Rajasthan Royals - Final,Gujarat Titans,133/3,130/9,"Narendra Modi Stadium, Ahmedabad","May 29, 2022"
