Year,Max_Cell_Phones,Avg_Cell_Phones,Sum_Cell_Phones
1960,0,0.0000000000,0
1965,0,0.0000000000,0
1970,0,0.0000000000,0
1975,0,0.0000000000,0
1976,0,0.0000000000,0
1977,0,0.0000000000,0
1978,0,0.0000000000,0
1979,0,0.0000000000,0
1980,23500,117.5000000000,23500
1981,28300,319.9497487437,63670
1982,33900,507.6500000000,101530
1983,42200,748.0402010050,148860
1984,91600,1612.0707070707,319190
1985,340000,3789.9090909091,750402
1986,682000,7326.7828282828,1450703
1987,1230000,12917.2030456853,2544689
1988,2070000,21859.8282828283,4328246
1989,3510000,37143.9898477157,7317366
1990,5280000,53718.8454106280,11119801
1991,7560000,81229.2525252525,16083392
1992,11000000,115312.6363636364,22831902
1993,16000000,169761.0757575757,33612693
1994,24100000,277255.0757575757,54896505
1995,33800000,449949.2550000000,89989851
1996,44000000,716501.4328358210,144016788
1997,55300000,1061827.0646766170,213427240
1998,69200000,1543858.0591133000,313403186
1999,86000000,2349150.0882352940,479226618
2000,109000000,3512114.5951219510,719983492
2001,145000000,4584524.4731707320,939827517
2002,206000000,5533819.0582524270,1139966726
2003,270000000,6746383.1262135920,1389754924
2004,335000000,8398639.4154589380,1738518359
2005,393000000,10704651.7647058800,2183748960
2006,461000000,13545969.4029850800,2722739850
2007,547000000,16390334.0686274500,3343628150
2008,641000000,19820874.2574257400,4003816600
2009,747000000,22589670.1470588200,4608292710
2010,859000000,25450493.2367149700,5268252100
2011,986000000,28869280.9359605900,5860464030
2012,865000000,24853099.5145631100,5119738500
2013,886000000,26617779.3103448300,5403409200
2014,944000000,27702034.3137254900,5651215000
2015,339000000,23460192.1951219500,4809339400
2016,386000000,24646225.5000000000,4929245100
2017,435000000,24894864.3564356500,5028762600
2018,348000000,26442611.1111111100,4997653500
2019,356000000,25670186.4077669900,5288058400
2020,356000000,26054623.3009708700,5367252400
2021,366000000,27004645.1456310700,5562956900
2022,373000000,32410467.8362573100,5542190000
2023,386000000,35419928.6713286700,5065049800
