country,Year,country,Pop,cell_phone_per_person
Finland,1980,Finland,4780000,0.0049
Finland,1981,Finland,4800000,0.0059
Japan,1981,Japan,119000000,0.0001
Norway,1981,Norway,4100000,0.0004
Sweden,1981,Sweden,8320000,0.0025
UAE,1982,UAE,1170000,0.0020
Denmark,1982,Denmark,5120000,0.0014
Finland,1982,Finland,4830000,0.0070
Japan,1982,Japan,119000000,0.0002
Norway,1982,Norway,4110000,0.0027
Sweden,1982,Sweden,8330000,0.0033
UAE,1983,UAE,1240000,0.0029
Denmark,1983,Denmark,5110000,0.0032
Finland,1983,Finland,4860000,0.0087
Japan,1983,Japan,120000000,0.0002
Norway,1983,Norway,4130000,0.0057
Sweden,1983,Sweden,8330000,0.0044
UAE,1984,UAE,1310000,0.0038
Denmark,1984,Denmark,5110000,0.0060
Finland,1984,Finland,4880000,0.0107
"Hong Kong, China",1984,"Hong Kong, China",5320000,0.0002
Indonesia,1984,Indonesia,163000000,0.0000
Japan,1984,Japan,120000000,0.0003
Norway,1984,Norway,4140000,0.0094
Sweden,1984,Sweden,8340000,0.0069
USA,1984,USA,239000000,0.0004
UAE,1985,UAE,1380000,0.0057
Austria,1985,Austria,7560000,0.0013
Canada,1985,Canada,25900000,0.0005
Germany,1985,Germany,77900000,0.0000
Denmark,1985,Denmark,5110000,0.0090
Finland,1985,Finland,4900000,0.0138
UK,1985,UK,56600000,0.0009
"Hong Kong, China",1985,"Hong Kong, China",5390000,0.0008
Indonesia,1985,Indonesia,167000000,0.0000
Ireland,1985,Ireland,3530000,0.0001
Italy,1985,Italy,56900000,0.0001
Japan,1985,Japan,121000000,0.0005
Luxembourg,1985,Luxembourg,367000,0.0001
Netherlands,1985,Netherlands,14500000,0.0003
Norway,1985,Norway,4150000,0.0152
Oman,1985,Oman,1330000,0.0000
Sweden,1985,Sweden,8350000,0.0087
USA,1985,USA,242000000,0.0014
UAE,1986,UAE,1470000,0.0076
Austria,1986,Austria,7570000,0.0025
Belgium,1986,Belgium,9890000,0.0004
Bahrain,1986,Bahrain,446000,0.0014
Canada,1986,Canada,26200000,0.0023
Germany,1986,Germany,77900000,0.0003
Denmark,1986,Denmark,5120000,0.0113
Spain,1986,Spain,38700000,0.0000
Finland,1986,Finland,4920000,0.0173
France,1986,France,55800000,0.0002
UK,1986,UK,56800000,0.0023
"Hong Kong, China",1986,"Hong Kong, China",5450000,0.0018
Indonesia,1986,Indonesia,170000000,0.0000
Ireland,1986,Ireland,3540000,0.0004
Iceland,1986,Iceland,243000,0.0109
Italy,1986,Italy,56900000,0.0002
